date,total_cost_current,total_cost_baseline,difference_yuan
2025-12-22,62907.4116577429,60632.0419128124,2275.3697449305
2025-12-23,62109.7528724112,60171.0126669296,1938.74020548158
2025-12-24,62548.2021505122,58950.7757873332,3597.42636317896
2025-12-25,62081.9733003127,59161.2218258664,2920.75147444629
2025-12-26,27712.5557036805,24758.3790582232,2954.17664545728
2025-12-27,28029.8259798428,24380.3229353315,3649.50304451129
2025-12-28,63188.8303123732,60362.8385006022,2825.99181177103
2025-12-29,62317.9820195109,59446.697595246,2871.28442426488
2025-12-30,61498.1576759361,59054.3986493684,2443.75902656769
2025-12-31,62750.9672755713,58577.4314165907,4173.53585898055
