scenario,model,target,horizon,population,granularity,group,unit,n,mae,rmse,wape_pct,bias
3,updated_issued,pv,remaining_day,pv_generating,issue_hour,12,kW,13278,144.1715508603005,195.8217178910863,3.4243797125204285,43.449973444557216
3,updated_issued,net_load,remaining_day,all,issue_hour,12,kW,24048,188.62084696355996,249.16894529811694,5.88823251264792,-24.93055188847191
3,updated_issued,load,remaining_day,all,issue_hour,18,kW,12024,150.0506161416009,198.1469908078325,3.7733866261891817,8.569417506478167
3,updated_issued,pv,remaining_day,all,issue_hour,18,kW,12024,15.83468358283433,60.018932568363205,81.35062045524853,15.748755671989356
3,updated_issued,pv,remaining_day,pv_generating,issue_hour,18,kW,1696,85.82142970224056,142.18036410122033,62.19050818826676,85.21223323997641
3,updated_issued,net_load,remaining_day,all,issue_hour,18,kW,12024,154.5500006671518,204.63466745647938,3.9056522602492345,-7.179338165511181
3,updated_issued,load,remaining_day,all,lead_slot,1,kW,1336,137.79418989740014,179.35204027927713,3.1535913484694227,8.048086363300895
3,updated_issued,pv,remaining_day,all,lead_slot,1,kW,1336,80.43895819034312,123.95758016695606,3.728057679760938,1.4553215550340266
3,updated_issued,pv,remaining_day,pv_generating,lead_slot,1,kW,848,122.34679892614103,154.3986196855877,3.5991354480455096,-2.0896852068459335
3,updated_issued,net_load,remaining_day,all,lead_slot,1,kW,1336,164.43928710184665,216.81218605154953,4.871638898236534,6.592764808266864
3,updated_issued,load,remaining_day,all,lead_slot,2,kW,1336,131.03349745630362,171.50385522486707,2.987118512656594,11.73223676728082
3,updated_issued,pv,remaining_day,all,lead_slot,2,kW,1336,112.20573053817567,179.70570769735224,5.166647520333931,11.091778437557197
3,updated_issued,pv,remaining_day,pv_generating,lead_slot,2,kW,844,164.33970567455597,220.5432435835511,4.78048863156297,4.28254926883765
3,updated_issued,net_load,remaining_day,all,lead_slot,2,kW,1336,186.21371073743035,246.55498202229614,5.532271481364346,0.6404583297236215
3,updated_issued,load,remaining_day,all,lead_slot,3,kW,1336,143.8035928737141,187.3894819733654,3.284637153697924,9.361045596188916
3,updated_issued,pv,remaining_day,all,lead_slot,3,kW,1336,120.37433900418199,195.35386195086548,5.509772161034303,21.78538210151747
3,updated_issued,pv,remaining_day,pv_generating,lead_slot,3,kW,699,196.5127657769665,253.9744321012119,4.706100643959705,8.079509093189923
3,updated_issued,net_load,remaining_day,all,lead_slot,3,kW,1336,201.7892860490672,263.94856818190556,6.054054893548797,-12.424336505328545
3,updated_issued,load,remaining_day,all,lead_slot,4,kW,1336,135.63564183012787,176.866067367432,3.1003582989127203,14.708591096936948
3,updated_issued,pv,remaining_day,all,lead_slot,4,kW,1336,111.27496686912103,179.04449422225113,5.05356600244257,28.322464807393924
3,updated_issued,pv,remaining_day,pv_generating,lead_slot,4,kW,847,161.26598890212753,217.1837959885381,4.643230086236291,30.42237289921442
